city,country,city ID,city_latitude,city_longitude,latitude,longitude
hay river,ca,5972762,60.816218,-115.7853652,60.816218,-115.7853652
marsa matruh,eg,352733,31.3543445,27.2373159,31.3543445,27.2373159
jacareacanga,br,3397763,-6.2238568,-57.76075840000001,-6.2238568,-57.76075840000001
casablanca,ma,6547294,33.5731104,-7.589843399999999,33.5731104,-7.589843399999999
paamiut,gl,3421193,61.99411509999999,-49.6665709,61.99411509999999,-49.6665709
ukiah,us,5404476,39.1501709,-123.2077831,39.1501709,-123.2077831
chapleau,ca,5919915,47.8423282,-83.40261079999999,47.8423282,-83.40261079999999
bahia blanca,ar,3865086,-38.7183177,-62.2663478,-38.7183177,-62.2663478
fort nelson,ca,5955902,58.8050174,-122.697236,58.8050174,-122.697236
kaduy,ru,554535,59.2074845,37.1181564,59.2074845,37.1181564
saskylakh,ru,2017155,71.954308,114.1198349,71.954308,114.1198349
nuevo progreso,mx,3522526,26.0498321,-97.9511137,26.0498321,-97.9511137
zhaoqing,cn,1784853,23.047191,112.465091,23.047191,112.465091
manavalakurichi,in,1263942,8.1471445,77.30228679999999,8.1471445,77.30228679999999
viedma,ar,3832899,-40.8119087,-62.9962044,-40.8119087,-62.9962044
alta floresta,br,6323793,-9.8672231,-56.0870033,-9.8672231,-56.0870033
gorontalo,id,1643837,0.6999371999999999,122.4467238,0.6999371999999999,122.4467238
high level,ca,5975004,58.516354,-117.1351599,58.516354,-117.1351599
iqaluit,ca,5983720,63.74669300000001,-68.5169669,63.74669300000001,-68.5169669
coruripe,br,3465329,-10.1250057,-36.1761209,-10.1250057,-36.1761209
konza,ke,190544,-1.7775816,37.1097748,-1.7775816,37.1097748
houma,us,4328010,29.5957696,-90.71953479999999,29.5957696,-90.71953479999999
marawi,sd,370481,18.4689363,31.8164031,18.4689363,31.8164031
dubbo,au,2168305,-32.2315018,148.6329645,-32.2315018,148.6329645
ouahigouya,bf,2357043,13.5668258,-2.4109908,13.5668258,-2.4109908
yandyki,ru,469151,45.766473,47.110194,45.766473,47.110194
castrovillari,it,6540785,39.8152678,16.1997438,39.8152678,16.1997438
hami,cn,1529484,42.81842,93.51514999999999,42.81842,93.51514999999999
fukue,jp,1863997,32.7018615,128.7577605,32.7018615,128.7577605
santa cruz,cr,3621607,10.2609675,-85.5843632,10.2609675,-85.5843632
slave lake,ca,6149374,55.2866833,-114.7711184,55.2866833,-114.7711184
flinders,au,2166453,-35.0244952,138.5713281,-35.0244952,138.5713281
puertollano,es,2512177,38.6884458,-4.1078877,38.6884458,-4.1078877
